Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;CO2_evite_t_2015;Vies_sauvees_stat_2015;CO2_evite_t_2016;Vies_sauvees_stat_2016;CO2_evite_t_2017;Vies_sauvees_stat_2017;CO2_evite_t_2018;Vies_sauvees_stat_2018;CO2_evite_t_2019;Vies_sauvees_stat_2019;CO2_evite_t_2020;Vies_sauvees_stat_2020;CO2_evite_t_2021;Vies_sauvees_stat_2021;CO2_evite_t_2022;Vies_sauvees_stat_2022;CO2_evite_t_2023;Vies_sauvees_stat_2023;CO2_evite_t_2024;Vies_sauvees_stat_2024
Le Perray-en-Yvelines;87393298;78610;DEX GIF;B;IDF;pas de donnees;796649;796649;722412;722412;591206;591206;514506;514506;354142;354142;715156;715156;733118;733118;754939;754939;761212;761212;764750;764750;6435.37125;0.106682625;6405.598980000001;0.10618907400000001;6352.811685;0.1053139905;6169.18797;0.102269961;6018.037740000001;0.099764262;2980.10493;0.049402809;4329.5679900000005;0.071773587;4974.99849;0.082473237;6079.09698;0.100776474;6703.801335;0.1111325355
Caulnes;87473066;22350;DRG B-CVL-PDL;C;Halte;pas de donnees;90645;90645;84923;84923;73308;73308;49281;49281;42095;42095;55299;55299;45131;45131;36453;36453;31786;31786;27383;27383;230.427945;0.0038199285;267.47919;0.004434147;306.751995;0.0050851935;379.777365;0.0062957745;465.341085;0.0077142105;354.229425;0.0058722525;414.699615;0.0068746995;616.88682;0.010226466;714.6270450000001;0.0118467585;762.777675;0.0126449775
Le Teil;87764472;7400;DRG AURA BFC;C;pas de donnees;pas de donnees;4561;4561;680;680;7355;7355;3480;3480;3311;3311;8047;8047;4794;4794;1967;1967;4536;4536;9167;9167;77.140305;0.0012787965;38.17044;0.000632772;16.552305;0.0002743965;40.34151;0.0006687630000000001;67.71550500000001;0.0011225565;27.862064999999998;0.00046188450000000003;29.284200000000002;0.00048546;61.892325;0.0010260225;5.7222;9.486e-05;38.380815000000005;0.0006362595
Chinon;87571687;37500;DRG B-CVL-PDL;B;Proximité;0.2;201445;251806;164710;205888;174059;217574;123472;154340;107852;134815;139060;173825;118423;148029;125882;157353;120107;150134;125376;156720;1055.03904;0.017489952;1010.700405;0.0167549265;1059.29703;0.017560539;996.5295450000001;0.0165200085;1170.1898999999999;0.01939887;907.57458;0.015045354;1039.01688;0.017224344;1464.7064850000002;0.0242812305;1386.0346499999998;0.022977045;1695.159675;0.0281015775
Les Essarts-le-Roi;87393280;78690;DEX GIF;B;IDF;pas de donnees;896755;896755;812866;812866;652253;652253;567670;567670;369081;369081;789251;789251;820436;820436;856897;856897;879511;879511;896622;896622;7545.07413;0.125078769;7401.085065;0.1226917845;7210.7882549999995;0.1195371315;6903.968940000001;0.11445082200000001;6641.547165;0.1101005145;3105.816615;0.0514867995;4776.94305;0.079189965;5488.708995;0.0909892935;6840.26739;0.113394807;7546.193325;0.1250973225
Dompierre Sept Fons;87696427;3290;DRG AURA BFC;C;Proximité;pas de donnees;19081;19081;20117;20117;19909;19909;13852;13852;9188;9188;14413;14413;15074;15074;17524;17524;16866;16866;17781;17781;149.627115;0.0024804495;141.92739;0.002352807;147.46446;0.002444598;126.84771;0.002102823;121.28539500000001;0.0020106135000000002;77.31702;0.001281726;116.56458;0.001932354;167.534235;0.0027773055;169.28455499999998;0.0028063215000000002;160.56661499999998;0.0026617995
Les Praz de Chamonix;87746826;74400;DRG AURA BFC;C;Halte;pas de donnees;9739;9739;6690;6690;7797;7797;5194;5194;4392;4392;5418;5418;6842;6842;6363;6363;5002;5002;5497;5497;46.257255;0.0007668315;42.09183;0.000697779;53.544644999999996;0.0008876385;57.57543;0.0009544590000000001;45.59247;0.000755811;36.95868;0.0006126840000000001;43.70751;0.000724563;65.611755;0.0010876815;56.29635;0.000933255;81.953685;0.0013585905
Évry Val de Seine;87681361;91000;DEX GIF;B;IDF;pas de donnees;877639;877639;803532;803532;755215;755215;587153;587153;416528;416528;914295;914295;952220;952220;996434;996434;1020954;1020954;1045105;1045105;8794.558575;0.1457921475;8591.32791;0.142423083;8384.992110000001;0.139002543;8012.9313;0.13283469;7693.792425;0.1275441525;3505.0831200000002;0.058105656;4940.892495;0.08190784350000001;6355.134225;0.1053524925;6761.72178;0.112092714;7385.332184999999;0.12243064050000001
Lille Flandres;87286005;59000;DRG HDF-NORMANDIE;A;Hub;0.21;25331979;32065796;24118203;30529371;21992946;27839172;15935295;20171260;13906563;17603244;21809569;27607050;19284090;24410240;19793630;25055228;18418490;23314544;18780587;23772895;158038.63960499997;2.6198918865;154991.59334999998;2.569379355;166563.39645;2.761211385;162275.61735;2.690130555;183527.523135;3.0424348755;117023.72764499999;1.9399655385;134095.507425;2.2229736525;185070.64059;3.068015967;202954.67824500002;3.3644893185;213168.603285;3.5338110705
Foix;87611616;9000;DRG OCCITANIE SUD;B;Proximité;0.1999999999999999;313936;392420;318840;398550;283007;353759;194264;242830;118940;148675;215707;269634;181705;227132;227901;284877;221001;276252;246977;308721;2078.311455;0.034453291500000004;1859.723415;0.030829639500000002;1917.7869150000001;0.0317921895;1529.047575;0.0253478475;1815.174405;0.0300911265;1000.8801;0.01659213;1634.73156;0.027099828;2381.5039049999996;0.0394794765;2683.0386000000003;0.04447818;2641.77144;0.043794072
Fouilloy;87313841;60220;DRG HDF-NORMANDIE;C;Halte;pas de donnees;5152;5152;4677;4677;4942;4942;2151;2151;1692;1692;1747;1747;1394;1394;1277;1277;1231;1231;478;478;4.02237;6.668100000000001e-05;10.358865;0.0001717245;10.745955;0.0001781415;11.73051;0.000194463;14.701004999999999;0.0002437065;14.23818;0.000236034;18.100665;0.0003000645;41.58693;0.000689409;39.356955;0.0006524415;43.35408;0.000718704
Frénouville - Cagny;87444182;14630;DRG HDF-NORMANDIE;C;Halte;pas de donnees;25986;25986;19170;19170;14144;14144;9513;9513;9392;9392;19546;19546;15018;15018;15249;15249;13308;13308;10752;10752;90.47808;0.001499904;111.98682000000001;0.001856466;128.320335;0.0021272355;126.37647;0.002095011;164.47959;0.002726667;79.03367999999999;0.001310184;80.051895;0.0013270635;119.02176;0.001973088;161.31555;0.002674215;218.67219;0.003625047
Gourland;87473801;22200;DRG B-CVL-PDL;C;Halte;pas de donnees;3317;3317;3068;3068;2554;2554;2918;2918;1651;1651;865;865;2325;2325;1077;1077;382;382;1608;1608;13.53132;0.000224316;3.2145300000000003;5.3289e-05;9.062955;0.0001502415;19.564875;0.0003243375;7.278975;0.0001206675;13.893165000000002;0.0002303145;24.55497;0.000407061;21.49191;0.000356283;25.817220000000002;0.000427986;27.912555;0.0004627215
Houilles - Carrières-sur-Seine;87386409;78800;DEX GIF;B;IDF;pas de donnees;18250565;18250565;16550470;16550470;15852935;15852935;12067402;12067402;7442169;7442169;15533521;15533521;15190406;15190406;14909464;14909464;14383250;14383250;13827319;13827319;116356.889385;1.9289110005;121035.04875;2.006463375;125463.13956;2.079870228;127827.26649;2.119061637;130714.579215;2.1669261795;62625.852135;1.0381825755;101547.18783;1.683402579;133402.44802500002;2.2114844325;139272.20505000002;2.3087905650000002;153578.504475;2.5459538175
Hyères;87755629;83400;DRG OCCITANIE SUD;B;Proximité;0.0699999999999999;765868;823514;677310;728290;650137;699072;532708;572805;340343;365960;495096;532361;454827;489062;500037;537675;397577;427502;231025;248414;1944.075375;0.0322279875;3345.610455;0.0554619915;4207.811355000001;0.0697551615;3827.369205;0.0634483665;4166.23284;0.069065892;2863.9863450000003;0.0474778485;4482.73782;0.074312766;5470.902855;0.09069411150000001;5699.56365;0.094484745;6444.779219999999;0.106838586
Issou - Porcheville;87381574;78440;DEX GIF;B;IDF;pas de donnees;340639;340639;308645;308645;322803;322803;308847;308847;139822;139822;211354;211354;208966;208966;208585;208585;204045;204045;201878;201878;1698.80337;0.028161981;1717.038675;0.0284642775;1755.242775;0.0290976075;1758.44889;0.029150757;1778.5439099999999;0.029483883;1176.60213;0.019505169;2598.947505;0.0430841565;2716.387245;0.0450310185;2597.2476749999996;0.0430559775;2866.477185;0.0475191405
La Ferté-Milon;87116673;2460;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;137068;137068;127956;127956;133587;133587;99496;99496;72807;72807;128417;128417;119892;119892;118228;118228;120942;120942;123281;123281;1037.409615;0.0171976995;1017.72693;0.016871409;994.88862;0.016492806;1008.8911800000001;0.016724934;1080.6290549999999;0.0179141715;612.6709050000001;0.0101565765;837.25884;0.013879692;1124.134605;0.0186353865;1076.74974;0.017849862;1153.42722;0.019120986
L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;87765479;84800;DRG OCCITANIE SUD;B;Proximité;0.07;180458;194041;170575;183414;171167;184050;129368;139105;90311;97109;153294;164832;140170;150721;167058;179632;158846;170802;165896;178383;1396.01484;0.023142492;1336.68909;0.022159017;1405.7930700000002;0.023304591;1179.53055;0.019553715;1289.96901;0.021384513;759.9670649999999;0.0125983845;1088.6317199999999;0.018046836;1440.370305;0.0238777965;1435.388625;0.0237952125;1518.5540700000001;0.025173891
Livry-sur-Seine;87682401;77000;DEX GIF;C;IDF;pas de donnees;167000;167000;151423;151423;92740;92740;101959;101959;51652;51652;112341;112341;107957;107957;104859;104859;98867;98867;93577;93577;787.4504549999999;0.0130539915;831.965805;0.0137919465;882.388485;0.0146278305;908.458155;0.0150600015;945.349515;0.0156715695;434.65158;0.007205454;857.9849849999999;0.014223280500000001;780.4071;0.012937230000000001;1274.224545;0.0211235085;1405.305;0.0232965
La Gorp;87584755;33380;DRG NLLE AQUITAINE;C;Halte;pas de donnees;153535;153535;162524;162524;148282;148282;109282;109282;73619;73619;106126;106126;74664;74664;53238;53238;37327;37327;29584;29584;248.94935999999998;0.004126968;314.10670500000003;0.0052071165;447.99777;0.007426701;628.2975600000001;0.010415628;893.05029;0.014804577000000001;619.503885;0.0102698505;919.60803;0.015244839;1247.79303;0.020685339;1367.6394599999999;0.022672098;1291.997025;0.0214181325
Le Burg;87594614;19240;DRG NLLE AQUITAINE;C;Halte;pas de donnees;3265;3265;2180;2180;806;806;854;854;275;275;217;217;412;412;465;465;243;243;517;517;4.350555;7.21215e-05;2.044845;3.38985e-05;3.912975;6.48675e-05;3.46698;5.7474e-05;1.826055;3.02715e-05;2.314125;3.83625e-05;7.1864099999999995;0.000119133;6.78249;0.00011243700000000001;18.3447;0.00030411;27.474974999999997;0.0004554675
Velars-sur-Ouche;87712331;21370;DRG AURA BFC;C;Halte;pas de donnees;8005;8005;6601;6601;4373;4373;1888;1888;2933;2933;4698;4698;4918;4918;4195;4195;4506;4506;4737;4737;39.861855000000006;0.0006608115;37.917989999999996;0.000628587;35.300925;0.0005852025;41.38497;0.000686061;39.53367;0.000655371;24.681195;0.0004091535;15.88752;0.000263376;36.798795;0.0006100335;55.547415;0.0009208395;67.36207499999999;0.0011166975
Mesvres;87694158;71190;DRG AURA BFC;C;Halte;pas de donnees;1632;1632;928;928;4257;4257;4036;4036;3184;3184;2172;2172;2285;2285;2694;2694;2472;2472;2974;2974;25.02621;0.000414873;20.80188;0.000344844;22.670009999999998;0.000375813;19.228275;0.0003187575;18.27738;0.000302994;26.79336;0.000444168;33.96294;0.000563022;35.822655;0.0005938515;7.80912;0.00012945600000000002;13.73328;0.000227664
Mitry - Claye;87271528;77290;DEX GIF;B;IDF;pas de donnees;3540346;3540346;3208981;3208981;2580330;2580330;2460460;2460460;1404440;1404440;2950501;2950501;3054942;3054942;3079825;3079825;3039545;3039545;2989451;2989451;25156.230165;0.4170284145;25577.771175;0.4240165275;25916.727375;0.4296355875;25707.33693;0.426164409;24828.465915;0.4115948895;11818.3626;0.19591938;20704.7709;0.34323417;21713.47695;0.359956035;27003.575115;0.4476528495;29792.01159;0.493878267
Vitry-le-François;87174276;51300;DRG GRAND EST;B;Proximité;0.13;243720;280138;241108;277135;193983;222969;143657;165124;110464;126970;198938;228665;191242;219819;232152;266842;222209;255412;242104;278280;2037.30516;0.033773508;1869.888735;0.0309981555;1953.55908;0.032385204;1609.30143;0.026678259;1674.06327;0.027751851;929.55456;0.015409728000000001;1208.873655;0.0200401515;1632.366945;0.0270606285;2028.92382;0.033634566;2050.9038;0.03399894
Montluçon;87641001;3100;DRG AURA BFC;B;Proximité;0.2;268492;335616;250470;313087;268390;335487;224161;280202;191312;239140;301423;376779;309296;386620;345749;432186;343667;429584;380565;475707;3202.454475;0.0530888175;2891.957805;0.0479415465;2909.477835;0.0482319855;2602.72584;0.043146792;2536.474545;0.0420485085;1609.89048;0.026688024;1886.314815;0.0312704595;2258.50185;0.037440405;2107.70505;0.034940565;2259.36018;0.037454634
Morez;87715441;39400;DRG AURA BFC;C;Halte;pas de donnees;47509;47509;38671;38671;37290;37290;27532;27532;20859;20859;26948;26948;22414;22414;27014;27014;26145;26145;26514;26514;223.11531;0.0036987030000000002;220.01017499999998;0.0036472275;227.32281;0.003768453;188.61381;0.003126753;226.76742000000002;0.003759246;175.528485;0.0029098305;231.68178;0.003840714;313.79535;0.005201955;325.416465;0.0053946045000000005;399.788235;0.0066275055
Moustéru;87473512;22200;DRG B-CVL-PDL;C;Halte;pas de donnees;967;967;984;984;996;996;975;975;1277;1277;1525;1525;867;867;552;552;748;748;244;244;2.0532600000000003;3.4038e-05;6.29442;0.00010434600000000001;4.64508;7.7004e-05;7.2958050000000005;0.0001209465;12.832875;0.00021273750000000001;10.745955;0.0001781415;8.204625;0.0001360125;8.38134;0.000138942;8.28036;0.00013726800000000001;8.137305;0.0001348965
Mulhouse;87182063;68100;DRG GRAND EST;A;Ville;0.24;5702065;7502718;5637668;7417984;5056324;6653057;4074689;5361433;3408899;4485393;5320370;7000488;5055333;6651754;5174727;6808851;4946420;6508448;5017072;6601410;42218.66088;0.699881544;41624.124299999996;0.69002559;43545.327704999996;0.7218744165000001;42540.627195;0.7052189535;44770.91355;0.742191615;28685.885085;0.4755414105;34288.507935;0.5684191155;42548.96646;0.705357198;47440.97622;0.786454686;47982.876975;0.7954380675
Neuvic;87595272;24190;DRG NLLE AQUITAINE;C;Halte;pas de donnees;55571;55571;52732;52732;47633;47633;33588;33588;31255;31255;33360;33360;28205;28205;34788;34788;34594;34594;35120;35120;295.53479999999996;0.00489924;291.10851;0.004825863;292.74102;0.0048529260000000005;237.345075;0.0039345975;280.7244;0.00465372;263.010825;0.0043600725;282.64302000000004;0.004685526;400.831695;0.0066448035;443.73978000000005;0.007356114;467.629965;0.0077521545
Nomain;87286609;59310;DRG HDF-NORMANDIE;C;Halte;pas de donnees;1622;1622;2100;2100;1614;1614;515;515;1100;1100;4336;4336;4315;4315;5098;5098;4732;4732;4678;4678;39.365370000000006;0.0006525810000000001;39.81978;0.0006601140000000001;42.89967;0.000711171;36.310725;0.0006019425;36.48744;0.000604872;9.2565;0.00015345;4.333725;7.18425e-05;13.581809999999999;0.000225153;17.6715;0.00029295;13.64913;0.000226269
Nouan-le-Fuzelier;87543157;41600;DRG B-CVL-PDL;C;Halte;pas de donnees;44704;44704;39796;39796;40834;40834;29593;29593;26442;26442;35637;35637;35741;35741;40678;40678;39239;39239;39077;39077;328.832955;0.0054512415000000005;330.196185;0.0054738405;342.30537;0.005674581;300.760515;0.0049858695;299.885355;0.0049713615;222.50942999999998;0.003688659;249.025095;0.0041282235;343.61811;0.005696343;334.88334000000003;0.0055515420000000005;376.18415999999996;0.006236208
Nozières - Brignon;87775353;30190;DRG OCCITANIE SUD;C;Halte;pas de donnees;17407;17407;18970;18970;20804;20804;17501;17501;10869;10869;12945;12945;12094;12094;10497;10497;8892;8892;7330;7330;61.68195;0.001022535;74.82618;0.0012404340000000001;88.332255;0.0014643315;101.77100999999999;0.001687113;108.932175;0.0018058275;91.46263499999999;0.0015162255000000001;147.270915;0.0024413895;175.06566;0.002902158;159.63254999999998;0.002646315;146.479905;0.0024282765
Oullins;87722207;69600;DRG AURA BFC;B;Halte;0.2;202607;253258;186040;232550;190323;237903;162086;202607;114348;142935;164130;205162;146425;183032;165780;207225;136158;170197;129690;162112;1091.3413500000001;0.018091755;1145.7695700000002;0.018994041;1395.0387;0.02312631;1232.166375;0.0204262875;1381.15395;0.022896135;962.23842;0.015951546;1363.95369;0.022610997;1601.568045;0.0265500585;1565.5266000000001;0.02595258;1704.937905;0.0282636765
Pas des Lanciers;87753285;13700;DRG OCCITANIE SUD;C;Halte;pas de donnees;122079;122079;114722;114722;115423;115423;88083;88083;71280;71280;119491;119491;111945;111945;135334;135334;132879;132879;161199;161199;1356.489585;0.0224872605;1118.1767849999999;0.0185366205;1138.83561;0.018879093;942.0171750000001;0.0156163275;1005.516765;0.0166689945;599.8212;0.00994356;741.218445;0.0122875785;971.2845450000001;0.0161015085;965.38563;0.016003719;1027.294785;0.0170300205
Peille;87756791;6440;DRG OCCITANIE SUD;C;Halte;pas de donnees;13588;13588;17162;17162;17444;17444;9254;9254;8434;8434;15368;15368;9778;9778;11081;11081;10098;10098;8002;8002;67.33683;0.001116279;84.97467;0.001408671;93.246615;0.0015457995;82.28187;0.001364031;129.32172;0.002143836;70.97211;0.001176543;77.87241;0.001290933;146.79126000000002;0.002433438;144.41823000000002;0.0023940990000000002;114.34302000000001;0.001895526
Pontarlier;87715003;25300;DRG AURA BFC;B;Proximité;0.1999999999999999;202187;252734;180138;225172;257295;321619;204283;255354;181980;227475;180972;226216;175873;219841;187007;233759;176395;220493;176497;220621;1485.222255;0.0246213315;1484.363925;0.024607102500000002;1573.663905;0.0260874765;1479.9712949999998;0.0245342835;1522.8793799999999;0.025245594;1531.3617;0.02538621;1719.041445;0.0284974785;2165.137425;0.035892652500000004;1515.86127;0.025129251000000002;1701.403605;0.0282050865
Pontrieux;87473843;22260;DRG B-CVL-PDL;C;Halte;pas de donnees;8604;8604;7798;7798;6641;6641;4109;4109;3797;3797;5501;5501;5835;5835;5388;5388;3412;3412;5943;5943;50.010345;0.0008290485;28.71198;0.000475974;45.340019999999996;0.000751626;49.101525;0.0008139825;46.290915;0.0007673895;31.951755000000002;0.0005296815;34.577235;0.0005732055;55.884015;0.0009264195;65.62017;0.001087821;72.40266;0.001200258
Pont-sur-Yonne;87683136;14130;DRG AURA BFC;C;Halte;pas de donnees;124592;124592;123542;123542;121012;121012;88156;88156;72818;72818;108606;108606;84924;84924;102634;102634;103470;103470;118693;118693;998.801595;0.0165576735;870.70005;0.014434065;863.66511;0.014317443000000001;714.63546;0.011846898;913.91949;0.015150537;612.76347;0.010158111000000001;741.83274;0.012297762;1018.31598;0.016881174;1039.60593;0.017234109;1048.4416800000001;0.017380584
Provenchères-sur-Fave;87144345;88490;DRG GRAND EST;C;Halte;pas de donnees;3204;3204;6877;6877;3317;3317;599;599;424;424;454;454;2374;2374;4339;4339;4460;4460;5463;5463;45.971145;0.0007620885;37.5309;0.00062217;36.512685;0.0006052905;19.97721;0.000331173;3.82041;6.3333e-05;3.5679600000000002;5.9148000000000004e-05;5.040585;8.35605e-05;27.912555;0.0004627215;57.869955000000004;0.0009593415;26.96166;0.000446958
Pruniers-en-Sologne;87576199;41200;DRG B-CVL-PDL;C;Halte;pas de donnees;4304;4304;7181;7181;8571;8571;7249;7249;5040;5040;5929;5929;5893;5893;6212;6212;7031;7031;6279;6279;52.837785000000004;0.0008759205;59.165865;0.0009808245;52.27398;0.0008665740000000001;49.589595;0.0008220735;49.892535;0.0008270955;42.4116;0.00070308;61.000335;0.0010112355;72.124965;0.0011956545;60.428115;0.0010017495;36.218160000000005;0.000600408
Remoulins;87775395;30210;DRG OCCITANIE SUD;C;pas de donnees;pas de donnees;284;284;628;628;762;762;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;6.412229999999999;0.000106299;5.28462;8.7606e-05;2.38986;3.9618e-05
Renescure;87281451;59173;DRG HDF-NORMANDIE;C;Halte;pas de donnees;13952;13952;14902;14902;16953;16953;14664;14664;15567;15567;27002;27002;22340;22340;21080;21080;21329;21329;20960;20960;176.3784;0.00292392;179.48353500000002;0.0029753955;177.3882;0.00294066;187.99110000000002;0.00311643;227.22182999999998;0.003766779;130.996305;0.0021715965;123.39756;0.002045628;142.659495;0.0023649435;125.40033;0.002078829;117.40608;0.001946304
Reuilly;87597039;36260;DRG B-CVL-PDL;C;Halte;pas de donnees;29397;29397;30196;30196;33387;33387;25018;25018;18104;18104;21607;21607;18355;18355;18483;18483;18211;18211;20358;20358;171.31257;0.002839941;153.245565;0.0025404345;155.534445;0.0025783785;154.45732500000003;0.0025605225;181.822905;0.0030141765;152.34516;0.002525508;210.52647;0.003490011;280.951605;0.0046574865;254.09933999999998;0.004212342;247.375755;0.0041008815
Rezé Pont Rousseau;87481036;44400;DRG B-CVL-PDL;B;Halte;0.2;206368;257961;213334;266668;183745;229682;139923;174903;115148;143936;184589;230736;176216;220270;163440;204300;147178;183973;113131;141414;951.997365;0.0157817745;1238.50287;0.020531331;1375.3476;0.02279988;1482.85764;0.024582132;1553.316435;0.0257501655;968.97042;0.016063146;1177.452045;0.0195192585;1546.214175;0.0256324275;1795.2056100000002;0.029760093;1736.58672;0.028788336
Ronchin;87286534;59790;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;76461;76461;65916;65916;60809;60809;46563;46563;36744;36744;46032;46032;41638;41638;42290;42290;41056;41056;47404;47404;398.90466;0.006612858;345.48624;0.005727312;355.87035;0.0058994550000000005;350.38377;0.005808501;387.35928;0.006421464;309.20076;0.005125788;391.827645;0.0064955385;511.707735;0.0084828555;554.68314;0.009195282;643.419315;0.0106663095
Rouffach;87182337;68250;DRG GRAND EST;B;Halte;0.2;316012;395015;317532;396915;238593;298242;182401;228001;156200;195250;208277;260347;194040;242550;198871;248589;185281;231601;182304;227881;1534.08816;0.025431408;1559.139615;0.0258466995;1673.499465;0.0277425045;1632.8466;0.027068580000000002;1752.650955;0.0290546415;1314.423;0.0217899;1534.904415;0.0254449395;2007.7600949999999;0.0332837235;2672.03178;0.044295714;2659.24098;0.044083674
Saint-André-de-Corcy;87723734;1390;DRG AURA BFC;B;Halte;0.1999999999999999;297521;371901;272654;340817;252233;315291;181491;226864;147522;184403;258339;322924;230575;288219;250018;312523;238906;298633;237176;296470;1995.8360400000001;0.033086052;2010.39399;0.033327387;2103.9014700000002;0.034877511;1940.288625;0.0321652125;2173.922685;0.0360382905;1241.39763;0.020579319;1527.2467649999999;0.0253179945;2122.5406949999997;0.0351865035;2294.3834100000004;0.038035233;2503.6392149999997;0.0415041795
Saint-André-lez-Lille;87286195;59350;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;29626;29626;23034;23034;21166;21166;15188;15188;10102;10102;15321;15321;14598;14598;17021;17021;16714;16714;17216;17216;144.87264000000002;0.002401632;140.64831;0.0023316030000000002;143.231715;0.0023744295;122.84217;0.002036421;128.92621499999998;0.0021372795;85.00833;0.0014092290000000001;127.80702000000001;0.002118726;178.11189000000002;0.002952657;193.83111;0.003213243;249.30279000000002;0.004132827
Saint-Armel;87471318;35230;DRG B-CVL-PDL;C;Halte;pas de donnees;13231;13231;11929;11929;9486;9486;4317;4317;2892;2892;3120;3120;2828;2828;1909;1909;7797;7797;12016;12016;101.11464;0.001676232;65.611755;0.0010876815;16.064235;0.0002663055;23.79762;0.000394506;26.2548;0.00043524;24.33618;0.000403434;36.327555000000004;0.0006022215;79.82469;0.001323297;100.382535;0.0016640955;111.338865;0.0018457245
Saint-Aulaire;87594622;19130;DRG NLLE AQUITAINE;C;Halte;pas de donnees;6810;6810;5519;5519;5077;5077;2954;2954;1828;1828;1401;1401;923;923;858;858;344;344;333;333;2.802195;4.64535e-05;2.89476;4.7988e-05;7.22007;0.000119691;7.767045;0.0001287585;11.789415000000002;0.0001954395;15.382620000000001;0.000255006;24.85791;0.000412083;42.722955;0.0007082415;46.442385;0.0007699005;57.30615;0.000949995
Saint-Chamas;87753202;13250;DRG OCCITANIE SUD;C;Halte;pas de donnees;101409;101409;86118;86118;83403;83403;65940;65940;51759;51759;75620;75620;64155;64155;61563;61563;55922;55922;57814;57814;486.50481;0.008065053;470.58363;0.0078011190000000005;518.052645;0.0085880385;539.864325;0.0089496225;636.3423;0.01054899;435.551985;0.0072203805;554.8851;0.00919863;701.836245;0.0116347185;724.68297;0.012013461;853.356735;0.0141465555
Saint-Cyprien;87595777;24220;DRG NLLE AQUITAINE;C;Halte;pas de donnees;17908;17908;15474;15474;14472;14472;10430;10430;7121;7121;5546;5546;8638;8638;8592;8592;7541;7541;8168;8168;68.73372;0.001139436;63.457515;0.0010519695;72.30167999999999;0.001198584;72.68877;0.001205001;46.66959;0.000773667;59.923215;0.0009933795;87.76845;0.001454985;121.78188;0.002018844;130.21371000000002;0.002158623;150.69582;0.002498166
Saint-Cyr-l'École;87393223;78210;DEX GIF;B;IDF;pas de donnees;6774075;6774075;5923522;5923522;4334034;4334034;3074076;3074076;2275378;2275378;4730879;4730879;4862074;4862074;5019441;5019441;5088041;5088041;5152121;5152121;43355.098215000005;0.7187208795;42815.865015;0.7097817195;42238.596015;0.7002120195;40914.35271;0.678259323;39810.346784999994;0.6599576205000001;19147.30587;0.317415231;25868.34954;0.428833602;36470.89611;0.604597743;49846.43763;0.826331319;57003.841125;0.9449834625
Sainte-Pazanne;87481226;44680;DRG B-CVL-PDL;B;Halte;0.2;214484;268105;223977;279971;196087;245109;143989;179986;120231;150288;187946;234933;176137;220171;170164;212705;167473;209342;229007;286259;1927.093905;0.0319464765;1409.285295;0.0233624835;1431.9300600000001;0.023737878;1482.192855;0.0245711115;1581.5655900000002;0.026218467;1011.743865;0.016772224500000002;1211.667435;0.0200864655;1650.072105;0.0273541365;1884.7664550000002;0.0312447915;1804.8828600000002;0.029920518
Saint-Étienne-du-Rouvray;87411215;76800;DRG HDF-NORMANDIE;C;Halte;pas de donnees;39456;39456;44231;44231;30672;30672;20282;20282;18352;18352;33652;33652;25943;25943;25475;25475;23572;23572;25593;25593;215.365095;0.0035702235;198.35838;0.003288294;214.372125;0.0035537625;218.310345;0.0036190485;283.18158;0.004694454;154.43207999999998;0.002560104;170.67303;0.002829339;258.10488;0.004278744;372.203865;0.0061702245;332.02224;0.005504112
Saint-Hilaire - Saint-Nazaire;87761684;38330;DRG AURA BFC;C;Halte;pas de donnees;110057;110057;96987;96987;92489;92489;63464;63464;43997;43997;73432;73432;60475;60475;73427;73427;64778;64778;57959;57959;487.724985;0.0080852805;545.10687;0.009036531;617.888205;0.0102430665;508.897125;0.0084362625;617.93028;0.010243764;370.234755;0.0061375815;534.04956;0.008853228;778.294935;0.0129022155;816.1456049999999;0.0135296865;926.1296550000001;0.0153529515
