Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;CO2_evite_t_2015;Vies_sauvees_stat_2015;CO2_evite_t_2016;Vies_sauvees_stat_2016;CO2_evite_t_2017;Vies_sauvees_stat_2017;CO2_evite_t_2018;Vies_sauvees_stat_2018;CO2_evite_t_2019;Vies_sauvees_stat_2019;CO2_evite_t_2020;Vies_sauvees_stat_2020;CO2_evite_t_2021;Vies_sauvees_stat_2021;CO2_evite_t_2022;Vies_sauvees_stat_2022;CO2_evite_t_2023;Vies_sauvees_stat_2023;CO2_evite_t_2024;Vies_sauvees_stat_2024
Seclin;87286518;59113;DRG HDF-NORMANDIE;B;Proximité;0.2;392035;490044;363457;454322;317594;396992;236080;295100;197066;246333;301904;377381;268269;335336;275348;344185;263085;328856;258739;323424;2177.288685;0.0360940905;2213.860275;0.0367003575;2317.0534199999997;0.038411046;2257.4836349999996;0.0374235255;2540.52216;0.042115608;1658.3103899999999;0.027490707;1986.6132;0.03293316;2672.5535099999997;0.044304363;3058.4906549999996;0.050702251500000003;3298.974525;0.0546888825
Selles-Saint-Denis;87576140;41300;DRG B-CVL-PDL;C;Halte;pas de donnees;24824;24824;29700;29700;27642;27642;19968;19968;18899;18899;19628;19628;14876;14876;14086;14086;16410;16410;16863;16863;141.902145;0.0023523885;138.09015;0.002289195;118.53369;0.001964997;125.18154;0.002075202;165.16962;0.002738106;159.03508499999998;0.0026364105000000002;168.03072;0.002785536;232.60743;0.0038560590000000002;249.9255;0.00414315;208.89396;0.003462948
Sierck-les-Bains;87191635;57480;DRG GRAND EST;C;Halte;pas de donnees;2314;2314;4202;4202;4111;4111;2528;2528;1760;1760;2189;2189;1853;1853;2232;2232;3271;3271;3998;3998;33.64317;0.000557721;27.525465;0.0004563045;18.78228;0.000311364;15.592995;0.0002584935;18.420435;0.0003053655;14.8104;0.00024552;21.27312;0.000352656;34.594065;0.0005734845;35.35983;0.000586179;19.47231;0.000322803
Thann Saint-Jacques;87182881;68800;DRG GRAND EST;B;Halte;0.2;240303;300378;216223;270279;165101;206377;161541;201926;161347;201684;153093;191367;152005;190006;160859;201073;156991;196238;159788;199735;1344.61602;0.022290426000000002;1321.0792649999999;0.0219002445;1353.6284850000002;0.0224398305;1279.122075;0.0212046975;1288.277595;0.0213564735;1357.735005;0.0225079065;1359.367515;0.0225349695;1389.3249150000001;0.0230315895;1819.516545;0.0301631085;2022.149745;0.0335222685
Thenon;87595579;24210;DRG NLLE AQUITAINE;C;Halte;pas de donnees;24849;24849;22300;22300;20318;20318;14104;14104;9160;9160;14887;14887;10981;10981;10371;10371;8756;8756;6226;6226;52.39179;0.000868527;73.68174;0.001221462;87.271965;0.0014467545;92.40511500000001;0.0015318495;125.27410499999999;0.0020767365;77.08139999999999;0.00127782;118.68516000000001;0.001967508;170.97597;0.002834361;187.6545;0.00311085;209.104335;0.0034664355
Théoule-sur-Mer;87757583;6590;DRG OCCITANIE SUD;C;Halte;pas de donnees;32131;32131;25443;25443;19850;19850;17608;17608;12268;12268;14349;14349;10721;10721;10507;10507;16923;16923;18791;18791;158.12626500000002;0.0026213445;142.407045;0.0023607585;88.416405;0.0014657265;90.217215;0.0014955795;120.746835;0.0020016855;103.23522;0.001711386;148.17132;0.002456316;167.03775;0.002769075;214.102845;0.0035492985;270.382365;0.0044822745
Thouaré-sur-Loire;87481143;44470;DRG B-CVL-PDL;C;Halte;pas de donnees;61351;61351;59014;59014;46006;46006;28176;28176;21021;21021;34328;34328;28424;28424;26021;26021;24234;24234;28114;28114;236.57931;0.003921903;203.92910999999998;0.003380643;218.966715;0.0036299295000000002;239.18796;0.003965148;288.87012;0.004788756;176.891715;0.0029324295;237.10104;0.003930552;387.14049;0.006417837;496.60281;0.008232453;516.2686649999999;0.0085584645
Torfou-Sèvremoine;87486894;49660;DRG B-CVL-PDL;C;Halte;pas de donnees;59782;59782;56730;56730;43234;43234;22724;22724;11924;11924;12669;12669;6395;6395;9837;9837;10326;10326;7652;7652;64.39158;0.001067454;86.89329;0.0014404770000000001;82.77835499999999;0.0013722615;53.813925000000005;0.0008921025;106.609635;0.0017673255;100.34046000000001;0.001663398;191.22245999999998;0.0031699980000000003;363.81410999999997;0.006031143;477.38295;0.007913835;503.06552999999997;0.008339589
Toulon Sainte-Musse;87742262;83100;DRG OCCITANIE SUD;pas de donnees;pas de donnees;pas de donnees;195074;195074;116047;116047;1330;1330;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;pas de donnees;11.19195;0.000185535;976.5355050000001;0.0161885565;1641.54771;0.027212823
Vallon-en-Sully;87641357;3190;DRG AURA BFC;C;Proximité;pas de donnees;18949;18949;22087;22087;26733;26733;23694;23694;21357;21357;26669;26669;28753;28753;32852;32852;31586;31586;35921;35921;302.275215;0.0050109795;265.79619;0.004406247;276.44958;0.004582854;241.956495;0.0040110435;224.419635;0.0037203255;179.719155;0.0029793015;199.38501000000002;0.0033053130000000003;224.95819500000002;0.0037292535000000003;185.862105;0.0030811365;159.45583499999998;0.0026433855
Varangéville - Saint-Nicolas;87141101;54110;DRG GRAND EST;B;Halte;0.2;396621;495776;395548;494435;348189;435236;282964;353705;231914;289893;302982;378727;292272;365340;292623;365778;255131;318914;253934;317417;2136.85461;0.035423793;2146.927365;0.0355907745;2462.422545;0.0408209085;2459.46888;0.040771944;2549.5935299999996;0.042265989000000004;1951.5563100000002;0.032352003;2381.14206;0.039473478;2930.010435;0.0485723655;3328.53642;0.055178946;3337.5657149999997;0.055328629500000004
Villepreux - Les Clayes;87393413;78340;DEX GIF;B;IDF;pas de donnees;2052959;2052959;1861655;1861655;1665949;1665949;1318558;1318558;883515;883515;2017279;2017279;2056096;2056096;2105241;2105241;2113817;2113817;2111452;2111452;17767.86858;0.294547554;17787.770055;0.2948774715;17715.603015;0.29368111950000003;17302.04784;0.286825392;16975.402785;0.2814104205;7434.778724999999;0.1232503425;11095.665570000001;0.183938841;14018.960835000002;0.23239988550000001;15665.826825;0.2597008725;17275.649985;0.2863877805
Villers-Bretonneux;87313437;80380;DRG HDF-NORMANDIE;B;Proximité;0.2;260957;326197;240122;300152;194818;243523;164386;205482;137411;171763;168956;211195;154204;192756;153453;191817;145276;181595;143251;179064;1205.457165;0.0199835145;1222.49754;0.020266002;1291.3069950000001;0.0214066935;1297.62666;0.021511458;1421.76474;0.023569362;1156.313565;0.0191688345;1383.30819;0.022931847;1639.39347;0.027177111;2020.62663;0.033497019;2195.9531549999997;0.0364035015
